instance,N,tmax,outcome,outcome_reported,n_points,n_extend_points,t_max_reached,F_min,nsamp_extend
instance_17_d_8,15,0.9873586155127964,crossed,not_extended,8,0,2.0,0.0021077510427858215,
instance_180_d_6,15,1.2020760420697032,crossed,not_extended,8,0,2.0,0.01287341462520999,
instance_182_d_14,15,7.898952228568815,crossed,wall_cap,14,6,9.653618000000003,0.0687018863433988,8
instance_183_d_5,15,1.1456284099018015,crossed,not_extended,8,0,2.0,0.014447558903339087,
instance_185_d_6,15,1.1148911993858504,crossed,not_extended,8,0,2.0,0.001791157694242429,
instance_186_d_7,15,0.6894701966832288,crossed,not_extended,8,0,2.0,0.0031267576465324964,
instance_188_d_6,15,0.7353067638743064,crossed,not_extended,8,0,2.0,0.004479367239400745,
instance_189_d_5,15,1.3605641963653317,crossed,not_extended,8,0,2.0,0.02100738253502641,
instance_189_d_9,15,1.1431348163684587,crossed,not_extended,8,0,2.0,0.014823307919868967,
instance_18_d_15,15,4.217201862578831,crossed,wall_cap,11,3,4.394000000000001,0.07895632465691313,8
instance_194_d_7,15,1.2427797488364702,crossed,not_extended,8,0,2.0,0.02189779207110405,
instance_196_d_14,15,1.1729247396841394,crossed,not_extended,8,0,2.0,0.009462882607476786,
instance_198_d_5,15,0.7424821582869536,crossed,not_extended,8,0,2.0,0.001528727223922033,
instance_19_d_13,15,14.031755553606612,crossed,wall_cap,16,8,16.31461442000001,0.0673438477856833,8
instance_1_d_7,15,1.7030422951350763,crossed,not_extended,8,0,2.0,0.058879472798435015,
instance_20_d_13,15,2.914185635230748,crossed,crossed,10,2,3.3800000000000003,0.050068123094320266,8
instance_21_d_14,15,14.547747133586432,crossed,wall_cap,16,8,16.31461442000001,0.07070082088587548,8
instance_21_d_7,15,1.3224134511414245,crossed,not_extended,8,0,2.0,0.015376949119308847,
instance_34_d_5,15,0.8850496215217076,crossed,not_extended,8,0,2.0,0.005815819645795273,
instance_34_d_7,15,1.8456582815212705,crossed,not_extended,8,0,2.0,0.07025088277514442,
instance_35_d_15,15,,wall_cap,wall_cap,16,8,16.31461442000001,0.10578353270462817,8
instance_37_d_13,15,4.923710929209179,crossed,wall_cap,12,4,5.712200000000002,0.05554817021167947,8
instance_37_d_5,15,1.2495668746005548,crossed,not_extended,8,0,2.0,0.02032847743757884,
instance_39_d_14,15,4.368391439874597,crossed,wall_cap,11,3,4.394000000000001,0.0965879909177558,8
instance_3_d_6,15,1.5236083310429134,crossed,not_extended,8,0,2.0,0.027014342993788888,
instance_3_d_8,15,0.8988688770709112,crossed,not_extended,8,0,2.0,0.012109665113166556,
instance_40_d_5,15,0.7048700320935274,crossed,not_extended,8,0,2.0,-0.0018012953576544532,
instance_41_d_15,15,14.796371397012285,crossed,wall_cap,16,8,16.31461442000001,0.08498736182261354,8
instance_41_d_5,15,0.9811990674672948,crossed,not_extended,8,0,2.0,0.00939784567017341,
instance_43_d_7,15,1.4414201835900138,crossed,not_extended,8,0,2.0,0.025697515284264227,
instance_43_d_8,15,1.980398629726895,crossed,not_extended,8,0,2.0,0.09730070352488837,
instance_47_d_7,15,1.3747521102588858,crossed,not_extended,8,0,2.0,0.015575168205032242,
instance_4_d_6,15,2.283620626601591,crossed,crossed,9,1,2.6,0.06252891181970757,8
instance_50_d_15,15,4.335579207379808,crossed,wall_cap,11,3,4.394000000000001,0.09632673537582553,8
instance_50_d_6,15,1.3951067622600883,crossed,not_extended,8,0,2.0,0.02453911879201769,
instance_53_d_8,15,8.029243708247447,crossed,wall_cap,14,6,9.653618000000003,0.06783097504999935,8
instance_54_d_7,15,1.6832654457306893,crossed,not_extended,8,0,2.0,0.05378960024172556,
instance_55_d_5,15,1.3714711051692305,crossed,not_extended,8,0,2.0,0.018894588891998864,
instance_55_d_6,15,1.0853508334512494,crossed,not_extended,8,0,2.0,0.011235976609532372,
instance_56_d_6,15,0.9096401075505709,crossed,not_extended,8,0,2.0,0.010597500991570996,
instance_57_d_13,15,3.941850492010901,crossed,wall_cap,11,3,4.394000000000001,0.07070758479976832,8
instance_5_d_8,15,1.3802476130202623,crossed,not_extended,8,0,2.0,0.038207601208705456,
instance_60_d_11,15,3.7011971570563165,crossed,wall_cap,11,3,4.394000000000001,0.05230320362552418,8
instance_61_d_9,15,1.8619847404996097,crossed,not_extended,8,0,2.0,0.08556210594906588,
instance_63_d_13,15,1.7844413252719027,crossed,not_extended,8,0,2.0,0.05858247601572657,
instance_64_d_15,15,1.4984283342148619,crossed,not_extended,8,0,2.0,0.026608036795369116,
instance_64_d_5,15,0.871020433282631,crossed,not_extended,8,0,2.0,0.014910442950349535,
instance_65_d_5,15,1.4537319139266525,crossed,not_extended,8,0,2.0,0.03089491118807928,
